,content
918,oposition de résolution de M. François LÉOTARD  TENDANT A LA CREATION D'UNE COMMISSION D'ENQUETE SUR LES FAITS AUXQUELS ONT DONNE LIEU LES OPERATIONS FINANCIERES LORS DE L'OFFRE PUBLIQUE D'ACHAT PAR PECHINEY SUR UNE FILIALE D'AMERICAN CAN
919,"oposition de résolution de M. André LAJOINIE  et plusieurs de ses collègues  TENDANT A LA CREATION D'UNE COMMISSION D'ENQUETE SUR LE RACHAT D'AMERICAN CAN PAR PECHINEY, LES OPERATIONS BOURSIERES SUR LE CAPITAL DE LA SOCIETE GENERALE ET LES CONDITIONS DANS LESQUELLES ONT EU LIEU LES DENATIONALISATIONS DEPUIS LE 6 AOUT 1986"
920,tendant a la creation d'une commission d'enquete sur la strategie industrielle d'Usinor-Sacilor et sur les perspectives d'avenir de la siderurgie francaise
921,relatif au recrutement et a la promotion des enseignants-chercheurs et portant dispositions diverses relatives a l'enseignement superieur
922,
923,relative a la modernisation de l'enseignement professionnel et le developpement des formations en alternance
924,et plusieurs de ses collègues  tendant a permettre aux etablissements de statut prive d'enseignement technologique superieur industriel ou commercial a but non lucratif de conclure des contrats avec l'Etat et de beneficier d'une aide financiere de celui-ci
925, par la France du protocole additionnel a la convention europeenne d'entraide judiciaire en matiere penale
926,"tendant a abroger l'amnistie prevue a l'article 19 de la loi no 90-55 du 15 janvier 1990, et a mieux sanctionner les entraves au fonctionnement de la justice"
927,LATIF AUX CONDITIONS DE SEJOUR ET D'ENTREE DES ETRANGERS EN FRANCE
928,"i  portant modification de l'ordonnance no 45-2658 du 2 novembre 1945 modifiee, relative aux conditions d'entree et de sejour des etrangers en France"
929,et plusieurs de ses collègues  RELATIVE AUX CONDITIONS D'ENTREE ET DE SEJOUR DES ETRANGERS EN FRANCE
930,RELATIVE AUX CONDITIONS D'ENTREE ET DE SEJOUR DES ETRANGERS EN FRANCE
931,difiant l'ordonnance no 45-2658 du 2 novembre 1945 relative aux conditions d'entree et de sejour des etrangers en France
932,
933,"ATIF AU DEVELOPPEMENT DES ENTREPRISES COMMERCIALES ET ARTISANALES ET A L'AMELIORATION DE LEUR ENVIRONNEMENT ECONOMIQUE, JURIDIQUE ET SOCIAL"
934,i  relatif a la modernisation des entreprises cooperatives
935,relative a l'entretien des berges des rivieres navigables
936,relative a la protection de l'environnement de l'Antarctique
937,i  portant creation de l'Agence de l'environnement et des economies d'energie
938, loi de M. Louis MINETTI  et plusieurs de ses collègues  relative a l'espace forestier et rural mediterraneen
939,relative a l'espace forestier et rural mediterraneen
940,
941,"ENDANT A CREER UN ETABLISSEMENT PUBLIC FINANCIER FACILITANT LA MISE EN VALEUR DU PATRIMOINE FORESTIER DES COLLECTIVITES LOCALES ET DES ETABLISSEMENTS PUBLICS ET CONCOURANT AINSI A LA PROMOTION DE LA""FILIERE BOIS""EN FRANCE"""
942,RELATIVE A LA CREATION D'UN CENTRE D'ACCUEIL ET DE SOINS HOSPITALIERS AUX LIEU ET PLACE DE LA MAISON DE NANTERRE
943,"tendant a permettre aux etablissements publics de cooperation intercommunale exercant leur activite dans plusieurs departements, de sieger dans la commission departementale de cooperation intercommunale des departements ou leur siege n'est pas etabli"
944,i  autorisant le transfert a une societe nationale des etablissements industriels dependant du groupement industriel des armements terrestres (GIAT)
945,tendant a permettre aux etablissements de statut prive d'enseignement technologique superieur industriel ou commercial a but non lucratif de conclure des contrats avec l'Etat et de beneficier d'une aide financiere de celui-ci
946,TENDANT A MODIFIER L'ARTICLE 4 DE LA LOI NO 59-1557 DU 31 DECEMBRE 1959 RELATIVE AUX RAPPORTS ENTRE L'ETAT ET LES ETABLISSEMENTS D'ENSEIGNEMENT PRIVE
947,et plusieurs de ses collègues  tendant a completer la loi no 59-1557 du 31 decembre 1959 sur les rapports entre l'Etat et les etablissements d'enseignement prives afin de faire beneficier les directeurs d'etablissements d'enseignement prives des avantages financiers et des decharges de service d'enseignement accordees aux directeurs d'ecoles publiques
948,"oi  modifiant le code civil, relatif a l'etat civil et a la filiation et instituant le juge aux affaires familiales"
949,tendant a determiner les regles fondamentales de l'ethique biomedicale
950,"  AUTORISANT L'APPROBATION D'UN PROTOCOLE RELATIF AUX PRIVILEGES, EXEMPTIONS ET IMMUNITES DE L'ORGANISATION EUROPENNE POUR L'EXPLOITATION DE SATELLITES METEOROLOGIQUES (EUMETSAT)"
951,"endant a instituer des placements a risque appeles""eurofonds""en vue du developpement des pays d'Europe centrale et orientale"""
952,relative a l'evaluation de certains terrains par les services de l'Etat dans le cadre de la realisation des infrastructures routieres nationales
953,
954,tendant a instituer une garantie de qualification pour l'exercice d'une profession artisanale
955,RELATIVE A L'EXONERATION DES CHARGES INCOMBANT A UN COPROPRIETAIRE A L'OCCASION D'UN PROCES L'OPPOSANT A LA COPROPRIETE
956,"TENDANT A EXONERER, PENDANT TROIS ANS, DE LA TAXE FONCIERE SUR LES PROPRIETES NON BATIES, LES EXPLOITATIONS AGRICOLES AYANT FAIT L'OBJET D'UN CHANGEMENT D'EXPLOITANT A LA SUITE D'UNE CESSION"
957,relative a l'exoneration de la taxe professionnelle des installations destinees a la lutte contre la pollution de l'eau et de l'atmosphere
958,tendant a exonerer de la vignette automobile les familles ayant au moins quatre enfants
959,RELATIVE A L'EXONERATION AU TITRE DE L'IMPOT SUR LE REVENU DES PERSONNELS NAVIGANTS
960,tendant a creer une Commission nationale des methodes substitutives a l'experimentation animale
961,et plusieurs de ses collègues  tendant a creer une commission nationale des methodes substitutives a l'experimentation animale
962,tendant a faire publier le nombre des animaux utilises dans l'experimentation animale
963,TENDANT A ASSURER LA PROTECTION DE L'ASSURE SOCIAL DU REGIME GENERAL EN CAS DE RECOURS A L'EXPERTISE MEDICALE
964,
965,oi  RELATIF A L'ADAPTATION DE L'EXPLOITATION AGRICOLE A SON ENVIRONNEMENT ECONOMIQUE ET SOCIAL
966,ojet de loi  COMPLEMENTAIRE A LA LOI NO 88-1202 DU 30 DECEMBRE 1988 RELATIVE A L'ADAPTATION DE L'EXPLOITATION AGRICOLE A SON ENVIRONNEMENT ECONOMIQUE ET SOCIAL
967,
968,ojet de loi  relatif a l'institution d'une garantie de l'Etat pour certaines expositions temporaires d'oeuvres d'art
969,
970,et plusieurs de ses collègues  relative a l'expropriation pour cause d'utilite publique des immeubles inhabites et a l'abandon
971,TENDANT A AUTORISER LE MAINTIEN DANS LE LOGEMENT D'UN LOCATAIRE DE BONNE FOI MENACE D'EXPULSION
972,TENDANT A ETENDRE A CERTAINS MEMBRES DES COMPAGNIES REPUBLICAINES DE SECURITE LE BENEFICE DE LA LOI No 74-1044 DU 9 DECEMBRE 1974 DONNANT VOCATION A LA QUALITE DE COMBATTANT AUX PERSONNES AYANT PARTICIPE AUX OPERATIONS EFFECTUEES EN AFRIQUE DU NORD ENTRE LE 1er JANVIER 1952 ET LE 2 JUILLET 1962
973,et plusieurs de ses collègues  TENDANT A L'EXTENSION DES ALLOCATIONS FAMILIALES DES LE PREMIER ENFANT ET TANT QU'UN ENFANT RESTE A CHARGE
974,
975,tendant a attribuer les allocations familiales a partir du premier enfant
976,sur l'extension des services financiers de la poste dans les zones defavorisees
977,tendant a la modification de la reglementation de la fabrication des pates alimentaires
978,relative a la suppression de la faillite civile en Alsace-Moselle
979,
980,tendant a ameliorer la situation des familles monoparentales
981,visant a favoriser la creation d'emplois
982,
983,"tendant a ce que les pupilles de l'Etat puissent une fois leur majorite atteinte, obtenir des renseignements sur leur veritable origine familiale"
984,relative au financement de la Securite sociale
985,et plusieurs de ses collègues  relative au financement de la securite sociale
986,"tendant a completer la loi no 83-663 du 22 juillet 1983 modifiee, afin de permettre aux collectivites locales de participer aux depenses d'investissement des etablissements d'enseignement prives"
987, relatif a la participation des communes au financement des colleges
988,relative au controle du financement des depenses electorales
989,tendant a supprimer l'article 23 de la loi no 83-663 du 22 juillet 1983 relatif a la repartition entre les communes des charges de fonctionnement des ecoles publiques accueillant des enfants de plusieurs communes
990,
991,e loi de M. Daniel HOEFFEL  et plusieurs de ses collègues  relative au financement des etablissements d'enseignement prive par les collectivites territoriales
992,et plusieurs de ses collègues  relative au financement des etablissements d'enseignement prive par les collectivites territoriales
993,relative au financement des investissements des etablissements prive d'enseignement
994,et plusieurs de ses collègues  relative au financement des etablissements d'enseignement prive par les collectivites territoriales
995,et plusieurs de ses collègues  tendant a definir les modalites de participation des collectivites territoriales au financement des investissements des etablissements d'enseignement prives sous contrat
996,relative au financement des etablissements prives d'enseignement par les collectivites territoriales
997,et plusieurs de ses collègues  sur le financement par credit-bail des installations ferroviaires
998,e loi de M. Hubert HAENEL  et plusieurs de ses collègues  sur le financement par credit-bail des installations ferroviaires
999,tendant a etendre le credit de paiement fractionne applicable aux droits d'enregistrement et a la taxe de publicite fonciere aux acquisitions effectuees en vertu des articles 61 et 155 de la loi no 85-98 du 25 janvier 1985 relative au redressement et a la liquidation judiciaires des entreprises
1000,"TENDANT A COMPLETER L'ARTICLE 199 SEXIES DU CODE GENERAL DES IMPOTS, RELATIF AUX DEDUCTIONS D'IMPOTS EN CAS DE DEPENSES LIEES A L'HABITATION  PRINCIPALE"
1001,
1002,i  portant diverses dispositions relatives a la fonction publique
1003,et plusieurs de ses collègues  visant a completer la loi no 84-16 du 11 janvier 1984 portant dispositions statutaires relatives a la fonction publique de l'Etat
1004,et plusieurs de ses collègues  RELATIVE A LA FONCTION PUBLIQUE TERRITORIALE
1005,
1006,RELATIVE A LA FONCTION PUBLIQUE TERRITORIALE
1007,"TENDANT A MODIFIER L'ARTICLE 78 DE LA LOI NO 84-53 DU 26 JANVIER 1984 MODIFIEE, PORTANT DISPOSITIONS STATUTAIRES RELATIVES A LA FONCTION PUBLIQUE TERRITORIALE"
1008,"RELATIF AU DELAI DE REORGANISATION DES SERVICES EXTERIEURS DE L'ETAT, A LA COMPOSITION PARITAIRE DU CONSEIL D'ADMINISTRATION DU CENTRE NATIONAL DE LA FONCTION PUBLIQUE TERRITORIALE ET AUX FONCTIONNAIRES TERRITORIAUX A TEMPS NON COMPLET"
1009,relatif a la fonction publique territoriale et portant modification de certains articles du code des communes
1010,tendant a modifier la loi no 84-53 du 26 janvier 1984 portant dispositions statutaires relatives a la fonction publique territoriale
1011,et plusieurs de ses collègues  modifiant les dispositions relatives a la fonction publique territoriale
1012,et plusieurs de ses collègues  TENDANT A ACCORDER LA BENEFICE DE LA CAMPAGNE DOUBLE AUX FONCTIONNAIRES ET ASSIMILES ANCIENS COMBATTANTS EN AFRIQUE-DU-NORD
1013,TENDANT A ACCORDER LE BENEFICE DE LA CAMPAGNE DOUBLE AUX FONCTIONNAIRES ANCIENS COMBATTANTS D'AFRIQUE-DU-NORD
1014,TENDANT A ACCORDER LE BENEFICE DE LA CAMPAGNE DOUBLE AUX FONCTIONNAIRES ET ASSIMILES ANCIENS COMBATTANTS EN AFRIQUE-DU-NORD
1015,et plusieurs de ses collègues  VISANT A ETENDRE AUX FONCTIONNAIRES ET ASSIMILES ANCIENS COMBATTANTS D'ALGERIE LE DROIT AUX CAMPAGNES DOUBLES
1016,et plusieurs de ses collègues  tendant a accorder le benefice de la campagne double aux fonctionnaires et assimiles anciens combattants en Afrique-du-Nord
1017,tendant a accorder le benefice de la campagne double aux fonctionnaires et assimiles anciens combattants d'Afrique-du-Nord
1018,tendant au degagement des cadres pour les fonctionnaires civils de la defense
1019,"et plusieurs de ses collègues  tendant a modifier l'article 6 de l'ordonnance du 17 novembre 1958 relative au fonctionnement des Assemblees parlementaires, en vue de reprimer les depositions sciemment inexactes effectuees sous serment par les temoins entendus par les commissions d'enquete parlementaires"
1020, de loi de M. Jacques GENTON  TENDANT A MODIFIER L'ARTICLE 6 BIS DE L'ORDONNANCE N0 58-1100 DU 17 NOVEMBRE 1958 RELATIVE AU FONCTIONNEMENT DES ASSEMBLEES PARLEMENTAIRES
1021,TENDANT A MODIFIER L'ARTICLE 6 BIS DE L'ORDONNANCE NO 58-1100 DU 17 NOVEMBRE 1958 RELATIVE AU FONCTIONNEMENT DES ASSEMBLEES PARLEMENTAIRES
1022,"tendant a liberaliser le fonctionnement des appareils automatiques, notamment des pompes a essence le dimanche"
1023,ésolution de M. Bernard PONS  et plusieurs de ses collègues  tendant a la creation d'une commission de controle sur le fonctionnement des renseignements generaux
1024,"et plusieurs de ses collègues  tendant a creer une commission departementale chargee d'examiner les missions, l'organisation, le fonctionnement et l'implantation des services publics"
1025, relatif aux fondations et modifiant la loi no 87-571 du 23 juillet 1987 sur le developpement du mecenat
1026,visant a instituer un fonds de concours a l'Etat pour le maintien des postes d'instituteurs en milieu rural
1027,et plusieurs de ses collègues  relative a l'institution d'un fonds de concours a l'Etat pour le maintien des postes d'instituteurs en milieu rural
1028,TENDANT A CREER DANS CHAQUE DEPARTEMENT UN FONDS DE DESTRUCTION DES VEHICULES USAGES OU REFORMES
1029,TENDANT A CREER UN FONDS NATIONAL DE PRETS D'HONNEUR AUX ETUDIANTS
1030,i  autorisant l'approbation des amendements a l'accord portant creation du Fonds de solidarite africain
1031,i  portant creation d'un Fonds de solidarite vieillesse
1032,
1033,
1034,tendant a la creation d'un Fonds national pour l'environnement
1035,tendant a la creation d'un fonds pour la vaccination et le traitement du SIDA dans les pays en voie de developpement
1036,TENDANT A LA CREATION D'UN FONDS REGIONAL POUR LES TRANSPORTS INTERIEURS DE LA GUYANE
1037,tendant a autoriser les conseils regionaux a creer des fonds regionaux d'infrastructures et a instituer une taxe regionale assise sur l'energie pour le financement de ces fonds
1038,tendant a autoriser en accord avec l'Etat et les conseils regionaux la creation de fonds regionaux d'infrastructures et a creer a cette fin une taxe regionale assise sur l'energie
1039,
1040,"utorisant la ratification du traite sur les forces armees conventionnelles en Europe (ensemble huit protocoles) signe a Paris le 19 novembre 1990 ainsi que trois declarations faites le meme jour, deux declarations faites le 14 juin 1991 et deux declarations faites le 18 octobre 1991"
1041,relative aux forets ou s'exerce un droit d'usage
1042,et plusieurs de ses collègues  TENDANT A FACILITER LA FORMATION AU SEIN DES PETITES ET MOYENNES ENTREPRISES EN FAVEUR DES PERSONNELS SALARIES ET NON SALARIES
1043,"i  relatif aux droits et obligations de l'Etat et des departements en matiere de formation des personnels enseignants, et portant diverses dispositions relatives a l'education nationale"
1044,tendant a modifier la loi no 82-1091 du 23 decembre 1982 relative a la formation professionnelle des artisans
1045,
1046,i  relatif a la formation professionnelle et a l'emploi
1047,relative aux frais d'hebergement et de soins des personnes agees accueillies dans des institutions d'hebergement collectif
1048,TENDANT A REVALORISER LE MONTANT DES FRAIS FUNERAIRES ADMIS EN DEDUCTION DE L'ACTIF SUCCESSORAL
1049,tendant a revaloriser le montant des frais funeraires deductibles de l'actif successoral
1050,et plusieurs de ses collègues  portant creation d'un fonds de garantie public permettant l'indemnisation des Francais etablis hors de France expulses a raison de leur nationalite ou de depart obligatoire par suite d'evenements politiques graves
1051,tendant a la reparation des prejudices moraux et materiels subis par les Francais musulmans rapatries d'Afrique du Nord et tendant a definir les moyens de leur insertion et de leur promotion
1052,RELATIVE AUX DROITS DES FRANCAIS RAPATRIES D'ORIGINE NORD-AFRICAINE
1053,  autorisant l'approbation de l'avenant a la convention du 24 avril 1975 entre le gouvernement de la Republique francaise et le gouvernement de Malaisie tendant a eviter les doubles impositions et a prevenir l'evasion fiscale en matiere d'impots sur le revenu
1054,RELATIVE AUX CHANGEMENTS DE NOMS ET A LA FRANCISATION DES NOMS ET PRENOMS
1055,TENDANT A REPRIMER LA FRAUDE MONETIQUE
1056,et plusieurs de ses collègues  TENDANT A SUPPRIMER LA POSSIBILITE DE FUSION DES LISTES DE CANDIDATS AU DEUXIEME TOUR DES ELECTIONS MUNICIPALES
1057,TENDANT A SUPPRIMER LA POSSIBILITE DE FUSION DES LISTES DE CANDIDATS AU DEUXIEME TOUR DES ELECTIONS MUNICIPALES
1058,tendant a instituer une garantie de paiement au profit du locateur d'ouvrage dans les marches prives de travaux
1059,tendant a inserer une garantie de paiement au profit du locateur d'ouvrage dans les marches prives de travaux
1060,et plusieurs de ses collègues  TENDANT A AMELIORER LES GARANTIES LEGALES DE REEMBAUCHE POUR LES JEUNES GENS OBLIGES DE QUITTER LEUR EMPLOI POUR ACCOMPLIR LEUR SERVICE NATIONAL
1061,RELATIVE AUX GARANTIES D'EMPRUNT ACCORDEES PAR LES COMMUNES
1062,tendant a renforcer les garanties des personnes inculpees et a completer l'article 11 du code de procedure penale
1063,TENDANT A AMELIORER LES GARANTIES LEGALES DE REEMBAUCHE POUR LES JEUNES GENS OBLIGES DE QUITTER LEUR EMPLOI POUR ACCOMPLIR LEUR SERVICE NATIONAL
1064,i  renforcant les garanties offertes aux personnes assurees contre certains risques
1065,tendant a encourager la garde d'enfant a domicile
1066,tendant a la creation d'un certificat d'aptitude aux fonctions de garde d'enfants au domicile des familles
1067,RELATIVE A L'EGALITE DES PARENTS DIVORCES POUR L'ATTRIBUTION DE LA GARDE DES ENFANTS
1068,uis MASSON  et plusieurs de ses collègues  tendant a la creation d'une commission d'enquete sur les perspectives d'evolution du monopole de Gaz de France
1069,et plusieurs de ses collègues  TENDANT A RECONNAITRE LE GENOCIDE DONT LE PEUPLE ARMENIEN FUT VICTIME EN 1915
1070,tendant a transferer la gestion des anciens etabilissements hospitaliers des houilleres nationales du Nord Pas-de-Calais a l'union regionale de la securite sociale miniere
1071,relative aux provisions pour reconstitution des gisements petroliers et miniers
1072,"et plusieurs de ses collègues  TENDANT A LA GRATUITE, A L'AIDE SOCIALE EN MATIERE SCOLAIRE ET UNIVERSITAIRE ET A LA PRIME DE RENTREE SCOLAIRE"
1073,"RELATIVE A LA GRATUITE, A L'AIDE SOCIALE EN MATIERE SCOLAIRE ET UNIVERSITAIRE ET A LA PRIME DE RENTREE SCOLAIRE"
1074,  RELATIF AUX GROUPEMENTS EUROPEENS D'INTERET ECONOMIQUE ET MODIFIANT L'ORDONNANCE NO 67-821 DU 23 SEPTEMBRE 1967 SUR LES GROUPEMENTS D'INTERET ECONOMIQUE
1075,et plusieurs de ses collègues  TENDANT A ASSURER LA RENOVATION DES CITES ET DE L'HABITAT MINIER DU BASSIN DU NORD ET DU PAS-DE-CALAIS
1076,TENDANT A ASSURER LA RENOVATION DES CITES ET DE L'HABITAT MINIER DU BASSIN DU NORD ET DU PAS-DE-CALAIS
1077,TENDANT A ASSURER UNE LARGE INFORMATION SUR LES PROBLEMES DES PERSONNES ATTEINTES D'UN HANDICAP
1078,et plusieurs de ses collègues  TENDANT A ASSURER UNE LARGE INFORMATION SUR LES PROBLEMES DES PERSONNES ATTEINTES D'UN HANDICAP
1079,tendant a permettre au contribuable handicape paraplegique et dependant de deduire de son revenu net imposable la somme des depenses engagees pour l'adaptation de son logement a sa situation et sa reinsertion dans son cadre de vie habituel
1080,i  relatif a l'abus d'autorite en matiere sexuelle dans les relations de travail et modifiant le code du travail et le code de procedure penale
1081,tendant a instituer une haute autorite de la securite nucleaire et de la prevention des risques technologiques majeurs
1082,tendant a modifier l'article 2 de l'ordonnance no 59-1 du 2 janvier 1959 portant loi organique sur la Haute Cour de Justice
1083,relative a la Haute Cour de justice
1084,relative a la fixation de l'heure legale
1085,TENDANT A MODIFIER L'HEURE LEGALE EN FRANCE METROPOLITAINE
1086, relatif aux droits et a la protection des personnes hospitalisees en raison de troubles mentaux et a leurs conditions d'hospitalisation
1087,tendant a modifier l'ordonnance no 45-2658 du 2 novembre 1945 modifiee par la loi no 90-34 du 10 janvier 1990 relative aux conditions d'entree et de sejour des etrangers en France et a creer un Office central pour la repression de l'immigration clandestine
1088,tendant a organiser la definition d'un quota annuel d'immigration en France
1089,tendant a modifier l'ordonnance no 45-2658 du 2 novembre 1945 et la loi no 52-893 du 25 juillet 1952 afin de reprimer plus severement l'immigration irreguliere
1090,de loi de M. Louis MERMAZ  et plusieurs de ses collègues  RELATIVE A L'IMMUNITE PARLEMENTAIRE
1091,relative a l'immunite parlementaire
1092,TENDANT A MODIFIER LE CODE FORESTIER AFIN DE FAVORISER LES IMPLANTATIONS DE GOLFS
1093,et plusieurs de ses collègues  visant a modifier l'article 47 de la loi de finances rectificative pour 1992 (nc 92-1476 du 31 decembre 1992)
1094,
1095, RELATIF A L'IMPOT DE SOLIDARITE SUR LA FORTUNE
1096,tendant a remedier aux discriminations creees par le calcul de l'impot sur la fortune a l'encontre des couples maries
1097,oi  relatif a la revision generale des evaluations des immeubles retenus pour la determination des bases des impots directs locaux
1098,oi de M. Raymond BOUVIER  RELATIVE AUX INCOMPATIBILITES FAMILIALES AU SEIN DES CONSEILS MUNICIPAUX
1099,TENDANT A ABROGER LES DISPOSITIONS DE L'ARTICLE L.238 DU CODE ELECTORAL RELATIVES AUX INCOMPATIBILITES FAMILIALES DANS LES CONSEILS MUNICIPAUX
1100,et plusieurs de ses collègues  tendant a instituer une incompatibilite entre le mandat parlementaire et celui du representant a l'Assemblee des communautes europeennes
1101,tendant a l'indemnisation des victimes contaminees a la suite de transfusions sanguines
1102,tendant a l'indemnisation de certains dommages lies a la perfusion de produits sanguins
1103,et plusieurs de ses collègues  tendant a l'indemnisation de certains dommages lies a la perfusion de produits sanguins
1104,tendant a modifier la loi du 5 juillet 1985 relative a l'amelioration de la situation des victimes d'accidents de la circulation et a l'acceleration des procedures d'indemnisation
1105,relative a l'indemnisation des victimes d'accidents therapeutiques
1106,tendant a l'indemnisation de certains anciens incorpores de force
1107,oi de M. Ernest MOUTOUSSAMY  et plusieurs de ses collègues  TENDANT A ETENDRE AUX DEPARTEMENTS ET TERRITOIRES D'OUTRE-MER LES DISPOSITIONS DE LA LOI NO 82-600 DU 13 JUILLET 1982 RELATIVE A L'INDEMNISATION DES VICTIMES DE CATASTROPHES NATURELLES
1108,
1109,tendant a l'institution d'une indemnisation en faveur des communes traversees par les autoroutes
1110,relative a l'indemnisation des victimes de transfusions de produits sanguins
1111,et plusieurs de ses collègues  tendant a creer un fonds de garantie pour indemniser les victimes d'accidents d'origine medicale
1112,et plusieurs de ses collègues  tendant a creer un fonds de garantie pour indemniser les victimes d'accidents d'origine medicale
1113,"RELATIVE A L'INDEMNISATION JUSTE ET TOTALE DE TOUS LES HABITANTS DE NIMES ET SA REGION, VICTIMES DU SINISTRE DU 3 OCTOBRE 1988"
1114,relative a l'indemnisation des personnes contaminees par le virus HIV a la suite de transfusions sanguines
1115,tendant a la creation d'un Fonds de garantie destine a l'indemnisation des hemophiles et transfuses contamines par le virus HIV
1116,
1117,tendant a indemniser les familles habitant dans des secteurs ou s'implantent des lignes a tres haute tention
1118,et plusieurs de ses collègues  tendant a indemniser les familles qui subissent une depreciation de leurs fonds en raison de l'installation de lignes de distribution d'energie electrique
1119,tendant a la mise en oeuvre d'une indemnisation des riverains concernes par les projets de creation ou d'extension des voiries routieres et ferroviaires en milieu rural
1120,et plusieurs de ses collègues  TENDANT A INDEMNISER PLEINEMENT LES VICTIMES D'ATTENTATS
1121,
1122,
1123,relative a l'indemnisation des victimes des incendies de l'espace forestier et rural
1124,tendant a indemniser les victimes contaminees par le virus de l'immuno-deficience humaine
1125,tendant a attribuer competence au juge de l'expropriation pour l'indemnisation des prejudices resultant de l'existence d'un ouvrage public
1126,ojet de loi organique  modifiant l'ordonnance no 58-1210 du 13 decembre 1958 portant loi organique relative a l'indemnite des membres du Parlement
1127,tendant a garantir l'independance de la Banque de France
1128,tendant a renforcer les garanties d'independance de la magistrature
1129,en vue du renforcement de l'independance de l'institution judiciaire
1130,TENDANT A MODIFIER L'ARTICLE 18 DE LA LOI NO 86-14 DU 6 JANVIER 1986 FIXANT LES REGLES GARANTISSANT L'INDEPENDANCE DES MEMBRES DES TRIBUNAUX ADMINISTRATIFS
1131,tendant a modifier les regles d'indexation de la dotation globale de fonctionnement
1132,AJOINIE  et plusieurs de ses collègues  tendant a creer une commission d'enquete sur l'industrie automobile francaise
1133,TENDANT A ORGANISER UN CONTROLE DES INELIGIBILITES AUX ELECTIONS CANTONALES
1134,TENDANT A AMELIORER L'INFORMATION DES CONSEILLERS MUNICIPAUX
1135,"TENDANT A INSTAURER, POUR L'AVOCAT D'UN DEMANDEUR, L'OBLIGATION IMPERATIVE DE PORTER A LA CONNAISSANCE DE LA JURIDICTION SAISIE LA CONSTITUTION DU DEFENDEUR"
1136,TENDANT A ORGANISER L'INFORMATION DES PARLEMENTAIRES SUR LES AVANT-PROJETS DE LOI SOUMIS A UNE PROCEDURE CONSULTATIVE
1137,oposition de résolution de M. Louis MERMAZ  et plusieurs de ses collègues  TENDANT A COMPLETER L'ARTICLE 86 DU REGLEMENT AFIN D'AMELIORER L'INFORMATION DES DEPUTES SUR LA LEGISLATION EN VIGUEUR DANS LES AUTRES PAYS DE LA COMMUNAUTE ECONOMIQUE EUROPEENNE
1138,de résolution de M. Laurent FABIUS  tendant a completer l'article 86 du Reglement afin d'ameliorer l'information des deputes sur l'impact ecologique de la legislation
1139,"relative a l'informatisation du Livre foncier dans les departements du Bas-Rhin, du Haut-Rhin et de la Moselle"
1140, au corps des ingenieurs du controle de la navigation aerienne
1141, au corps des ingenieurs electroniciens des systemes de la securite aerienne
1142,RELATIVE AU TRANSFERT ET A L'INHUMATION AU PANTHEON DE LA DEPOUILLE DE MME EUGENIE EBOUE-TELL
1143,"visant a permettre l'inscription, a l'ordre du jour des Assemblees, des propositions de loi ayant recueilli un nombre minimum de signatures"
1144,AJOINIE  et plusieurs de ses collègues  tendant a creer une commission d'enquete sur l'insecurite en Corse
1145,tendant a favoriser l'insertion professionnelle des personnes handicapees en recherche d'emploi par le financement des equipements necessaires a l'adaptation de leurs vehicules en vue de leur apprentissage a la conduite automobile
1146,tendant a faire beneficier les associations agreees ayant pour objet la reinsertion sociale des personnes handicapees d'une partie de la contribution financiere versee par les entreprises a l'association chargee de la gestion du fonds pour l'insertion professionnelle des handicapes
1147,
1148,tendant a favoriser l'installation de dispositif de fermeture organisant l'acces a des immeubles detenus en co-propriete
1149,tendant a faciliter l'installation des jeunes menages
1150, autorisant l'approbation d'une convention relative a la construction et a l'exploitation d'une installation europeenne de rayonnement synchrotron
1151,TENDANT A MODIFIER LA LOI NO 76-663 DU 19 JUILLET 1976 RELATIVE AUX INSTALLATIONS CLASSEES POUR LA PROTECTION DE L'ENVIRONNEMENT
1152,TENDANT A MODIFIER LA LOI NO 76-663 DU 19 JUILLET 1976 RELATIVE AUX INSTALLATIONS CLASSEES POUR LA PROTECTION DE L'ENVIRONNEMENT
1153,et plusieurs de ses collègues  tendant a modifier la loi no 76-663 du 19 juillet 1976 relative aux installations classees pour la protection de l'environnement et le code de l'urbanisme
1154,TENDANT A L'INSTAURATION D'UNE PEINE INEXORABLE POUR LES CRIMES ODIEUX
1155,
1156,TENDANT A INSTITUER LES DEFENSEURS DES ENFANTS
1157,TENDANT A INSTITUER UN AVOCAT DE L'ENFANT
1158,tendant a instituer un urbanisme commercial equilibre
1159,
1160,ojet de loi  modifiant le code des pensions militaires d'invalidite et des victimes de la guerre et relatif a l'Institution nationale des invalides
1161,
1162,et plusieurs de ses collègues  tendant a l'interdiction du commerce des armes
1163,tendant a l'interdiction du commerce des armes
1164,TENDANT A INTERDIRE L'INSTALLATION DES APPAREILS DE JEUX DE HASARD DANS LES CASINOS
1165,"TENDANT A PRESERVER L'INTEGRITE DES OEUVRES CINEMATOGRAPHIQUES DIFFUSEES PAR LES CHAINES DE TELEVISION, NOTAMMENT PAR L'INTERDICTION DES COUPURES PUBLICITAIRES"
1166,"ENDANT A INTERDIRE LES""PARACHUTAGES""LORS DES ELECTIONS LEGISLATIVES AFIN DE MORALISER LA VIE POLITIQUE"""
