,Title,Name,content,
928,entree et sejour des etrangers,"Michel Pezet, Paul Masson","i  portant modification de l'ordonnance no 45-2658 du 2 novembre 1945 modifiee, relative aux conditions d'entree et de sejour des etrangers en France",
929,ENTREE ET SEJOUR DES ETRANGERS EN FRANCE,Charles LEDERMAN,et plusieurs de ses collègues  RELATIVE AUX CONDITIONS D'ENTREE ET DE SEJOUR DES ETRANGERS EN FRANCE,
930,ENTREE ET SEJOUR DES ETRANGERS EN FRANCE,Louis PIERNA,RELATIVE AUX CONDITIONS D'ENTREE ET DE SEJOUR DES ETRANGERS EN FRANCE,
931,entree et sejour des etrangers en France,"Michel Suchod, Charles Jolibois, Michel Sapin",difiant l'ordonnance no 45-2658 du 2 novembre 1945 relative aux conditions d'entree et de sejour des etrangers en France,
932,ENTREPRISES A PARTENARIAT EVOLUTIF,Pierre LAFFITTE,"ENDANT A CREER DES ENTREPRISES A PARTENARIAT EVOLUTIF CARACTERISEES PAR LA LIBRE NEGOCIATION ENTRE APPORTEURS DE COMPETENCES ET DE CAPITAUX,",
933,ENTREPRISES COMMERCIALES ET ARTISANALES,"Louis Moinard, Philippe Bassinet","ATIF AU DEVELOPPEMENT DES ENTREPRISES COMMERCIALES ET ARTISANALES ET A L'AMELIORATION DE LEUR ENVIRONNEMENT ECONOMIQUE, JURIDIQUE ET SOCIAL",
934,entreprises cooperatives,"Philippe de Bourgoing, Jean-Pierre Worms",i  relatif a la modernisation des entreprises cooperatives,
935,entretien des berges des rivieres navigables,Jean Louis MASSON,relative a l'entretien des berges des rivieres navigables,
936,environnement de l'Antarctique,Jean-Yves LE DÉAUT,relative a la protection de l'environnement de l'Antarctique,
937,environnement et economies d'energie,"Michel Souplet, Huguette Bouchardeau",i  portant creation de l'Agence de l'environnement et des economies d'energie,
938,espace forestier et rural mediterraneen,"Louis MINETTI, Louis Minetti", loi de M. Louis MINETTI  et plusieurs de ses collègues  relative a l'espace forestier et rural mediterraneen,
939,espace forestier et rural mediterraneen,Gilbert MILLET,relative a l'espace forestier et rural mediterraneen,
940,ESSAIS DE MEDICAMENTS SUR L'HOMME,"Claude Huriet, Bernard Charles",RELATIVE A LA PROTECTION DES PERSONNES QUI SE PRETENT A DES RECHERCHES BIOMEDICALES ,
941,ETABLISSEMENT PUBLIC SUR LE PATRIMOINE FORESTIER,Louis MERMAZ,"ENDANT A CREER UN ETABLISSEMENT PUBLIC FINANCIER FACILITANT LA MISE EN VALEUR DU PATRIMOINE FORESTIER DES COLLECTIVITES LOCALES ET DES ETABLISSEMENTS PUBLICS ET CONCOURANT AINSI A LA PROMOTION DE LA""FILIERE BOIS""EN FRANCE""",
942,ETABLISSEMENT SANITAIRE A NANTERRE,Michel SAPIN,RELATIVE A LA CREATION D'UN CENTRE D'ACCUEIL ET DE SOINS HOSPITALIERS AUX LIEU ET PLACE DE LA MAISON DE NANTERRE,
943,etablissements de cooperation intercommunale,André SANTINI,"tendant a permettre aux etablissements publics de cooperation intercommunale exercant leur activite dans plusieurs departements, de sieger dans la commission departementale de cooperation intercommunale des departements ou leur siege n'est pas etabli",
944,établissements industriels du GIAT,"Xavier de Villepin, Jean-François Delahais",i  autorisant le transfert a une societe nationale des etablissements industriels dependant du groupement industriel des armements terrestres (GIAT),
945,etablissements prives d'enseignement technologique,Étienne PINTE,tendant a permettre aux etablissements de statut prive d'enseignement technologique superieur industriel ou commercial a but non lucratif de conclure des contrats avec l'Etat et de beneficier d'une aide financiere de celui-ci,
946,ETAT ET ENSEIGNEMENT PRIVE,Henri DE GASTINES,TENDANT A MODIFIER L'ARTICLE 4 DE LA LOI NO 59-1557 DU 31 DECEMBRE 1959 RELATIVE AUX RAPPORTS ENTRE L'ETAT ET LES ETABLISSEMENTS D'ENSEIGNEMENT PRIVE,
947,Etat et enseignement prive,Philippe ADNOT,et plusieurs de ses collègues  tendant a completer la loi no 59-1557 du 31 decembre 1959 sur les rapports entre l'Etat et les etablissements d'enseignement prives afin de faire beneficier les directeurs d'etablissements d'enseignement prives des avantages financiers et des decharges de service d'enseignement accordees aux directeurs d'ecoles publiques,
948,etat-civil et  filiation,"Denise Cacheux, Luc Dejoie","oi  modifiant le code civil, relatif a l'etat civil et a la filiation et instituant le juge aux affaires familiales",
949,ethique biomedicale,Jacques TOUBON,tendant a determiner les regles fondamentales de l'ethique biomedicale,
950,EUMETSAT,"Pierre Matraja, Guy Lengagne","  AUTORISANT L'APPROBATION D'UN PROTOCOLE RELATIF AUX PRIVILEGES, EXEMPTIONS ET IMMUNITES DE L'ORGANISATION EUROPENNE POUR L'EXPLOITATION DE SATELLITES METEOROLOGIQUES (EUMETSAT)",
951,"""""""eurofonds"""" en Europe de l'Est""",Bruno DURIEUX,"endant a instituer des placements a risque appeles""eurofonds""en vue du developpement des pays d'Europe centrale et orientale""",
952,evaluation de terrains par les services de l'Etat,Dominique BAUDIS,relative a l'evaluation de certains terrains par les services de l'Etat dans le cadre de la realisation des infrastructures routieres nationales,
953,EXECUTION DES DECISIONS DES JURIDICTIONS ADMINISTRATIVES,Jacques LARCHÉ,RELATIVE A L'EXECUTION DES DECISIONS DES JURIDICTIONS ADMINISTRATIVES,
954,exercice d'une profession artisanale,Jean Louis MASSON,tendant a instituer une garantie de qualification pour l'exercice d'une profession artisanale,
955,EXONERATION DE CHARGES DE COPROPRIETE,Emmanuel AUBERT,RELATIVE A L'EXONERATION DES CHARGES INCOMBANT A UN COPROPRIETAIRE A L'OCCASION D'UN PROCES L'OPPOSANT A LA COPROPRIETE,
956,EXONERATION DE LA TAXE FONCIERE,Philippe LEGRAS,"TENDANT A EXONERER, PENDANT TROIS ANS, DE LA TAXE FONCIERE SUR LES PROPRIETES NON BATIES, LES EXPLOITATIONS AGRICOLES AYANT FAIT L'OBJET D'UN CHANGEMENT D'EXPLOITANT A LA SUITE D'UNE CESSION",
957,exoneration de la taxe professionnelle,Jean-Luc REITZER,relative a l'exoneration de la taxe professionnelle des installations destinees a la lutte contre la pollution de l'eau et de l'atmosphere,
958,exoneration de la vignette automobile,Louis DE BROISSIA,tendant a exonerer de la vignette automobile les familles ayant au moins quatre enfants,
959,EXONERATION DE L'IRPP DES PERSONNELS NAVIGANTS,Ambroise GUELLEC,RELATIVE A L'EXONERATION AU TITRE DE L'IMPOT SUR LE REVENU DES PERSONNELS NAVIGANTS,
960,experimentation animale,François D'HARCOURT,tendant a creer une Commission nationale des methodes substitutives a l'experimentation animale,
961,experimentation animale,Louis SOUVET,et plusieurs de ses collègues  tendant a creer une commission nationale des methodes substitutives a l'experimentation animale,
962,experimentation animale,Gérard CHASSEGUET,tendant a faire publier le nombre des animaux utilises dans l'experimentation animale,
963,EXPERTISE MEDICALE DANS LE REGIME GENERAL,Daniel COLIN,TENDANT A ASSURER LA PROTECTION DE L'ASSURE SOCIAL DU REGIME GENERAL EN CAS DE RECOURS A L'EXPERTISE MEDICALE,
964,EXPLOITANTS DE NAVIRES NUCLEAIRES,"Alphonse Arzel, Jacques Floch",MODIFIANT LA LOI NO 65-956 DU 12 NOVEMBRE 1965 SUR LA RESPONSABILITE CIVILE DES EXPLOITANTS DE NAVIRES NUCLEAIRES MODIFIEE PAR LA LOI ,
965,EXPLOITATION AGRICOLE,"Jean Arthuis, Gérard Gouzes",oi  RELATIF A L'ADAPTATION DE L'EXPLOITATION AGRICOLE A SON ENVIRONNEMENT ECONOMIQUE ET SOCIAL,
966,EXPLOITATION AGRICOLE,"Marcel Daunay, Pierre Esteve",ojet de loi  COMPLEMENTAIRE A LA LOI NO 88-1202 DU 30 DECEMBRE 1988 RELATIVE A L'ADAPTATION DE L'EXPLOITATION AGRICOLE A SON ENVIRONNEMENT ECONOMIQUE ET SOCIAL,
967,exploitation commerciale des voies navigables,,relatif a l'exploitation commerciale des voies navigables,
968,expositions d'oeuvres d'art,"Michel Miroudot, Jean-Pierre Bequet",ojet de loi  relatif a l'institution d'une garantie de l'Etat pour certaines expositions temporaires d'oeuvres d'art,
969,EXPROPRIATION POUR CAUSE D'UTILITE PUBLIQUE,Alain GÉRARD,RELATIVE A L'EXPROPRIATION POUR CAUSE D'UTILITE PUBLIQUE DES IMMEUBLES INHABITES ET A L'ABANDON,
970,expropriation pour cause d'utilite publique,Alain GÉRARD,et plusieurs de ses collègues  relative a l'expropriation pour cause d'utilite publique des immeubles inhabites et a l'abandon,
971,EXPULSIONS LOCATIVES,Jacques RIMBAULT,TENDANT A AUTORISER LE MAINTIEN DANS LE LOGEMENT D'UN LOCATAIRE DE BONNE FOI MENACE D'EXPULSION,
972,EXTENSION DE LA QUALITE DE COMBATTANT,Pierre MAUGER,TENDANT A ETENDRE A CERTAINS MEMBRES DES COMPAGNIES REPUBLICAINES DE SECURITE LE BENEFICE DE LA LOI No 74-1044 DU 9 DECEMBRE 1974 DONNANT VOCATION A LA QUALITE DE COMBATTANT AUX PERSONNES AYANT PARTICIPE AUX OPERATIONS EFFECTUEES EN AFRIQUE DU NORD ENTRE LE 1er JANVIER 1952 ET LE 2 JUILLET 1962,
973,EXTENSION DES ALLOCATIONS FAMILIALES,Marie-Claude BEAUDEAU,et plusieurs de ses collègues  TENDANT A L'EXTENSION DES ALLOCATIONS FAMILIALES DES LE PREMIER ENFANT ET TANT QU'UN ENFANT RESTE A CHARGE,
974,extension des allocations familiales,M. Édouard LEJEUNE,tendant a faire beneficier les familles des allocations familiales a partir du premier enfant,
975,extension des allocations familiales,Élie HOARAU,tendant a attribuer les allocations familiales a partir du premier enfant,
976,extension des services financiers de la poste,Paul CHOLLET,sur l'extension des services financiers de la poste dans les zones defavorisees,
977,fabrication des pâtes alimentaires,Pierre ESTEVE,tendant a la modification de la reglementation de la fabrication des pates alimentaires,
978,faillite civile en Alsace-Moselle,Émile KOEHL,relative a la suppression de la faillite civile en Alsace-Moselle,
979,famille et aide sociale,Joseph CAUPERT,tendant a modifier l'article 193 du Code de la famille et de l'aide sociale,
980,familles monoparentales,Louis PIERNA,tendant a ameliorer la situation des familles monoparentales,
981,favorisant la creation d'emplois,Gérard LONGUET,visant a favoriser la creation d'emplois,
982,fiducie,,instituant la fiducie,
983,filiation des pupilles de l'Etat,Charles EHRMANN,"tendant a ce que les pupilles de l'Etat puissent une fois leur majorite atteinte, obtenir des renseignements sur leur veritable origine familiale",
984,financement de la Securite sociale,Georges MARCHAIS,relative au financement de la Securite sociale,
985,financement de la securite sociale,Hélène LUC,et plusieurs de ses collègues  relative au financement de la securite sociale,
986,financement de l'enseignement prive,Bernard PONS,"tendant a completer la loi no 83-663 du 22 juillet 1983 modifiee, afin de permettre aux collectivites locales de participer aux depenses d'investissement des etablissements d'enseignement prives",
987,financement des colleges,"Paul-Louis Tenaillon, Lucien Lanier", relatif a la participation des communes au financement des colleges,
988,financement des depenses electorales,Jean Louis MASSON,relative au controle du financement des depenses electorales,
989,financement des ecoles publiques,Arthur DEHAINE,tendant a supprimer l'article 23 de la loi no 83-663 du 22 juillet 1983 relatif a la repartition entre les communes des charges de fonctionnement des ecoles publiques accueillant des enfants de plusieurs communes,
990,financement des ecoles publiques,M. Édouard LEJEUNE,visant a supprimer la repartition intercommunale des depenses de fonctionnement des ecoles publiques accueillant des enfants de plusieurs communes,
991,financement des etablissements d'enseignement prive,"Daniel HOEFFEL, Joël Bourdin",e loi de M. Daniel HOEFFEL  et plusieurs de ses collègues  relative au financement des etablissements d'enseignement prive par les collectivites territoriales,
992,financement des etablissements d'enseignement prive,Marcel LUCOTTE,et plusieurs de ses collègues  relative au financement des etablissements d'enseignement prive par les collectivites territoriales,
993,financement des etablissements d'enseignement prive,Pierre MÉHAIGNERIE,relative au financement des investissements des etablissements prive d'enseignement,
994,financement des etablissements d'enseignement prives,Jean ARTHUIS,et plusieurs de ses collègues  relative au financement des etablissements d'enseignement prive par les collectivites territoriales,
995,financement des etablissements d'enseignement prives,Charles PASQUA,et plusieurs de ses collègues  tendant a definir les modalites de participation des collectivites territoriales au financement des investissements des etablissements d'enseignement prives sous contrat,
996,financement des etablissements prives d'enseignement,Denis JACQUAT,relative au financement des etablissements prives d'enseignement par les collectivites territoriales,
997,financement des installations ferroviaires,Hubert HAENEL,et plusieurs de ses collègues  sur le financement par credit-bail des installations ferroviaires,
998,financement des installations ferroviaires,"Hubert HAENEL, André Fosset",e loi de M. Hubert HAENEL  et plusieurs de ses collègues  sur le financement par credit-bail des installations ferroviaires,
999,fiscalite de certaines creances et ventes d'immeubles,Serge CHARLES,tendant a etendre le credit de paiement fractionne applicable aux droits d'enregistrement et a la taxe de publicite fonciere aux acquisitions effectuees en vertu des articles 61 et 155 de la loi no 85-98 du 25 janvier 1985 relative au redressement et a la liquidation judiciaires des entreprises,
1000,FISCALITE LIEE A L'HABITATION PRINCIPALE,Étienne PINTE,"TENDANT A COMPLETER L'ARTICLE 199 SEXIES DU CODE GENERAL DES IMPOTS, RELATIF AUX DEDUCTIONS D'IMPOTS EN CAS DE DEPENSES LIEES A L'HABITATION  PRINCIPALE",
1001,fiscalite locale,Edmond Hervé,rapporteur le 4 octobre 1989,
1002,fonction publique,"Germain Authié, Jacques Floch",Rapport d'information déposé en application de l'article 146 du Règlement par la Commission des finances,de l'économie générale et du Plan déposé en application de l'article 145 du Reglement par la commission des finances sur la fiscalite locale
1003,fonction publique de l'Etat,Jacques HABERT,et plusieurs de ses collègues  visant a completer la loi no 84-16 du 11 janvier 1984 portant dispositions statutaires relatives a la fonction publique de l'Etat,
1004,FONCTION PUBLIQUE TERRITORIALE,Jacqueline FRAYSSE,et plusieurs de ses collègues  RELATIVE A LA FONCTION PUBLIQUE TERRITORIALE,
1005,FONCTION PUBLIQUE TERRITORIALE,Philippe FRANÇOIS,RELATIVE A LA FONCTION PUBLIQUE TERRITORIALE,
1006,FONCTION PUBLIQUE TERRITORIALE,Paul LOMBARD,RELATIVE A LA FONCTION PUBLIQUE TERRITORIALE,
1007,FONCTION PUBLIQUE TERRITORIALE,Emmanuel AUBERT,"TENDANT A MODIFIER L'ARTICLE 78 DE LA LOI NO 84-53 DU 26 JANVIER 1984 MODIFIEE, PORTANT DISPOSITIONS STATUTAIRES RELATIVES A LA FONCTION PUBLIQUE TERRITORIALE",
1008,FONCTION PUBLIQUE TERRITORIALE,"Jean-Claude Peyronnet, Daniel Hoeffel","RELATIF AU DELAI DE REORGANISATION DES SERVICES EXTERIEURS DE L'ETAT, A LA COMPOSITION PARITAIRE DU CONSEIL D'ADMINISTRATION DU CENTRE NATIONAL DE LA FONCTION PUBLIQUE TERRITORIALE ET AUX FONCTIONNAIRES TERRITORIAUX A TEMPS NON COMPLET",
1009,fonction publique territoriale,"Jacques Floch, Germain Authié",relatif a la fonction publique territoriale et portant modification de certains articles du code des communes,
1010,fonction publique territoriale,Jean-François MANCEL,tendant a modifier la loi no 84-53 du 26 janvier 1984 portant dispositions statutaires relatives a la fonction publique territoriale,
1011,fonction publique territoriale,Jean PUECH,et plusieurs de ses collègues  modifiant les dispositions relatives a la fonction publique territoriale,
1012,FONCTIONNAIRES ANCIENS COMBATTANTS D'AFN,Robert PAGÈS,et plusieurs de ses collègues  TENDANT A ACCORDER LA BENEFICE DE LA CAMPAGNE DOUBLE AUX FONCTIONNAIRES ET ASSIMILES ANCIENS COMBATTANTS EN AFRIQUE-DU-NORD,
1013,FONCTIONNAIRES ANCIENS COMBATTANTS D'AFN,Louis MERMAZ,TENDANT A ACCORDER LE BENEFICE DE LA CAMPAGNE DOUBLE AUX FONCTIONNAIRES ANCIENS COMBATTANTS D'AFRIQUE-DU-NORD,
1014,FONCTIONNAIRES ANCIENS COMBATTANTS D'AFN,Daniel LE MEUR,TENDANT A ACCORDER LE BENEFICE DE LA CAMPAGNE DOUBLE AUX FONCTIONNAIRES ET ASSIMILES ANCIENS COMBATTANTS EN AFRIQUE-DU-NORD,
1015,FONCTIONNAIRES ANCIENS COMBATTANTS D'AFN,Robert PAGÈS,et plusieurs de ses collègues  VISANT A ETENDRE AUX FONCTIONNAIRES ET ASSIMILES ANCIENS COMBATTANTS D'ALGERIE LE DROIT AUX CAMPAGNES DOUBLES,
1016,fonctionnaires anciens combattants d'AFN,Robert PAGÈS,et plusieurs de ses collègues  tendant a accorder le benefice de la campagne double aux fonctionnaires et assimiles anciens combattants en Afrique-du-Nord,
1017,fonctionnaires anciens combattants d'AFN,François ROCHEBLOINE,tendant a accorder le benefice de la campagne double aux fonctionnaires et assimiles anciens combattants d'Afrique-du-Nord,
1018,fonctionnaires civils de la defense,Jean AUROUX,tendant au degagement des cadres pour les fonctionnaires civils de la defense,
1019,fonctionnement des Assemblees,Etienne DAILLY,"et plusieurs de ses collègues  tendant a modifier l'article 6 de l'ordonnance du 17 novembre 1958 relative au fonctionnement des Assemblees parlementaires, en vue de reprimer les depositions sciemment inexactes effectuees sous serment par les temoins entendus par les commissions d'enquete parlementaires",
1020,FONCTIONNEMENT DES ASSEMBLEES PARLEMENTAIRES,"Jacques GENTON, Paul Girod",de loi de M. Jacques GENTON  TENDANT A MODIFIER L'ARTICLE 6 BIS DE L'ORDONNANCE N0 58-1100 DU 17 NOVEMBRE 1958 RELATIVE AU FONCTIONNEMENT DES ASSEMBLEES PARLEMENTAIRES,
1021,FONCTIONNEMENT DES ASSEMBLEES PARLEMENTAIRES,Charles JOSSELIN,TENDANT A MODIFIER L'ARTICLE 6 BIS DE L'ORDONNANCE NO 58-1100 DU 17 NOVEMBRE 1958 RELATIVE AU FONCTIONNEMENT DES ASSEMBLEES PARLEMENTAIRES,
1022,fonctionnement des pompes a essence le dimanche,Jean Louis MASSON,"tendant a liberaliser le fonctionnement des appareils automatiques, notamment des pompes a essence le dimanche",
1023,fonctionnement des renseignements generaux,"Bernard PONS, François Massot",ésolution de M. Bernard PONS  et plusieurs de ses collègues  tendant a la creation d'une commission de controle sur le fonctionnement des renseignements generaux,
1024,fonctionnement des services publics,Hubert HAENEL,"et plusieurs de ses collègues  tendant a creer une commission departementale chargee d'examiner les missions, l'organisation, le fonctionnement et l'implantation des services publics",
1025,fondations,"Pierre Laffitte, Hélène Mignon",relatif aux fondations et modifiant la loi no 87-571 du 23 juillet 1987 sur le developpement du mecenat,
1026,fonds de concours en faveur des instituteurs ruraux,Claude GAILLARD,visant a instituer un fonds de concours a l'Etat pour le maintien des postes d'instituteurs en milieu rural,
1027,fonds de concours pour des postes d'instituteurs,Claude HURIET,et plusieurs de ses collègues  relative a l'institution d'un fonds de concours a l'Etat pour le maintien des postes d'instituteurs en milieu rural,
1028,FONDS DE DESTRUCTION DES VEHICULES USAGES,René BEAUMONT,TENDANT A CREER DANS CHAQUE DEPARTEMENT UN FONDS DE DESTRUCTION DES VEHICULES USAGES OU REFORMES,
1029,FONDS DE PRETS D'HONNEUR AUX ETUDIANTS,Adrien ZELLER,TENDANT A CREER UN FONDS NATIONAL DE PRETS D'HONNEUR AUX ETUDIANTS,
1030,Fonds de solidarite africain,"Pierre Brana, René Monory",i  autorisant l'approbation des amendements a l'accord portant creation du Fonds de solidarite africain,
1031,Fonds de solidarite vieillesse,Jean-Claude Boulard,i  portant creation d'un Fonds de solidarite vieillesse,
1032,FONDS D'ENTREPRISES POUR LE MECENAT,Pierre-Christian TAITTINGER,TENDANT A LA CREATION DE FONDS D'ENTREPRISES POUR LE MECENAT,
1033,fonds national d'aide aux riverains,Michel COFFINEAU,tendant a creer un fonds national d'aide aux riverains,
1034,Fonds national pour l'environnement,Jean-Christophe CAMBADÉLIS,tendant a la creation d'un Fonds national pour l'environnement,
1035,fonds pour le traitement du SIDA,Michèle BARZACH,tendant a la creation d'un fonds pour la vaccination et le traitement du SIDA dans les pays en voie de developpement,
1036,FONDS POUR LES TRANSPORTS EN GUYANE,Élie CASTOR,TENDANT A LA CREATION D'UN FONDS REGIONAL POUR LES TRANSPORTS INTERIEURS DE LA GUYANE,
1037,fonds regionaux d'infrastructures,Philippe VASSEUR,tendant a autoriser les conseils regionaux a creer des fonds regionaux d'infrastructures et a instituer une taxe regionale assise sur l'energie pour le financement de ces fonds,
1038,fonds regionaux d'infrastructures,Philippe VASSEUR,tendant a autoriser en accord avec l'Etat et les conseils regionaux la creation de fonds regionaux d'infrastructures et a creer a cette fin une taxe regionale assise sur l'energie,
1039,force maritime de complement,,relatif a la force maritime de complement,
1040,forces armees conventionnelles en Europe,"Charles Pistre, Jacques Golliet","utorisant la ratification du traite sur les forces armees conventionnelles en Europe (ensemble huit protocoles) signe a Paris le 19 novembre 1990 ainsi que trois declarations faites le meme jour, deux declarations faites le 14 juin 1991 et deux declarations faites le 18 octobre 1991",
1041,forets ou s'exerce un droit d'usage,Gilbert MILLET,relative aux forets ou s'exerce un droit d'usage,
1042,FORMATION AU SEIN DES PME,Louis SOUVET,et plusieurs de ses collègues  TENDANT A FACILITER LA FORMATION AU SEIN DES PETITES ET MOYENNES ENTREPRISES EN FAVEUR DES PERSONNELS SALARIES ET NON SALARIES,
1043,formation des personnels enseignants,"Jean-Pierre Sueur, Paul Seramy","i  relatif aux droits et obligations de l'Etat et des departements en matiere de formation des personnels enseignants, et portant diverses dispositions relatives a l'education nationale",
1044,formation professionnelle des artisans,Jean-Jacques WEBER,tendant a modifier la loi no 82-1091 du 23 decembre 1982 relative a la formation professionnelle des artisans,
1045,FORMATION PROFESSIONNELLE ET APPRENTISSAGE A MAYOTTE,"Auguste Cazalet, Jean-Paul Virapoullé",RELATIVE AUX COMPETENCES DE LA COLLECTIVITE TERRITORIALE DE MAYOTTE EN MATIERE DE FORMATION PROFESSIONNELLE ET D'APPRENTISSAGE,
1046,formation professionnelle et emploi,"Louis Souvet, Thierry Mandon",i  relatif a la formation professionnelle et a l'emploi,
1047,frais des personnes agees hebergees,Jean-Luc PRÉEL,relative aux frais d'hebergement et de soins des personnes agees accueillies dans des institutions d'hebergement collectif,
1048,FRAIS FUNERAIRES DEDUCTIBLES DE L'ACTIF SUCCESSORAL,Serge CHARLES,TENDANT A REVALORISER LE MONTANT DES FRAIS FUNERAIRES ADMIS EN DEDUCTION DE L'ACTIF SUCCESSORAL,
1049,frais funeraires deductibles de l'actif successoral,Jean-Luc REITZER,tendant a revaloriser le montant des frais funeraires deductibles de l'actif successoral,
1050,Francais expulses de l'etranger,Jacques HABERT,et plusieurs de ses collègues  portant creation d'un fonds de garantie public permettant l'indemnisation des Francais etablis hors de France expulses a raison de leur nationalite ou de depart obligatoire par suite d'evenements politiques graves,
1051,Francais musulmans d'Afrique du Nord,Jacques CHIRAC,tendant a la reparation des prejudices moraux et materiels subis par les Francais musulmans rapatries d'Afrique du Nord et tendant a definir les moyens de leur insertion et de leur promotion,
1052,FRANCAIS RAPATRIES D'ORIGINE NORD-AFRICAINE,Jean TARDITO,RELATIVE AUX DROITS DES FRANCAIS RAPATRIES D'ORIGINE NORD-AFRICAINE,
1053,France-Malaisie sur les doubles impositions,"Yves Guena, Pierre Hiard",autorisant l'approbation de l'avenant a la convention du 24 avril 1975 entre le gouvernement de la Republique francaise et le gouvernement de Malaisie tendant a eviter les doubles impositions et a prevenir l'evasion fiscale en matiere d'impots sur le revenu,
1054,FRANCISATION DES NOMS ET PRENOMS,Xavier DENIAU,RELATIVE AUX CHANGEMENTS DE NOMS ET A LA FRANCISATION DES NOMS ET PRENOMS,
1055,FRAUDE MONETIQUE,Étienne PINTE,TENDANT A REPRIMER LA FRAUDE MONETIQUE,
1056,FUSION DES LISTES AUX ELECTIONS MUNICIPALES,Daniel HOEFFEL,et plusieurs de ses collègues  TENDANT A SUPPRIMER LA POSSIBILITE DE FUSION DES LISTES DE CANDIDATS AU DEUXIEME TOUR DES ELECTIONS MUNICIPALES,
1057,FUSION DES LISTES AUX ELECTIONS MUNICIPALES,Patrick DEVEDJIAN,TENDANT A SUPPRIMER LA POSSIBILITE DE FUSION DES LISTES DE CANDIDATS AU DEUXIEME TOUR DES ELECTIONS MUNICIPALES,
1058,garantie de paiement au locateur d'ouvrage,Édouard LANDRAIN,tendant a instituer une garantie de paiement au profit du locateur d'ouvrage dans les marches prives de travaux,
1059,garantie de paiement au locateur d'ouvrage,Xavier HUNAULT,tendant a inserer une garantie de paiement au profit du locateur d'ouvrage dans les marches prives de travaux,
1060,GARANTIES DE REEMBAUCHE APRES LE SERVICE NATIONAL,Jean-Luc BÉCART,et plusieurs de ses collègues  TENDANT A AMELIORER LES GARANTIES LEGALES DE REEMBAUCHE POUR LES JEUNES GENS OBLIGES DE QUITTER LEUR EMPLOI POUR ACCOMPLIR LEUR SERVICE NATIONAL,
1061,GARANTIES D'EMPRUNT ACCORDEES PAR LES COMMUNES,Marcelin BERTHELOT,RELATIVE AUX GARANTIES D'EMPRUNT ACCORDEES PAR LES COMMUNES,
1062,garanties des personnes inculpees,Jean-Louis DEBRÉ,tendant a renforcer les garanties des personnes inculpees et a completer l'article 11 du code de procedure penale,
1063,GARANTIES LEGALES DE REEMBAUCHE,Jacques RIMBAULT,TENDANT A AMELIORER LES GARANTIES LEGALES DE REEMBAUCHE POUR LES JEUNES GENS OBLIGES DE QUITTER LEUR EMPLOI POUR ACCOMPLIR LEUR SERVICE NATIONAL,
1064,garanties pour les assures ,"Claude Huriet, Jean-Marie Le Guen",i  renforcant les garanties offertes aux personnes assurees contre certains risques,
1065,garde d'enfant a domicile,Élisabeth HUBERT,tendant a encourager la garde d'enfant a domicile,
1066,garde d'enfants a domicile,Monique PAPON,tendant a la creation d'un certificat d'aptitude aux fonctions de garde d'enfants au domicile des familles,
1067,GARDE DES ENFANTS PAR LES PARENTS DIVORCES,Jean Louis MASSON,RELATIVE A L'EGALITE DES PARENTS DIVORCES POUR L'ATTRIBUTION DE LA GARDE DES ENFANTS,
1068,Gaz de France,"Jean Louis MASSON, Jacques Fleury",uis MASSON  et plusieurs de ses collègues  tendant a la creation d'une commission d'enquete sur les perspectives d'evolution du monopole de Gaz de France,
1069,GENOCIDE ARMENIEN,Hélène LUC,et plusieurs de ses collègues  TENDANT A RECONNAITRE LE GENOCIDE DONT LE PEUPLE ARMENIEN FUT VICTIME EN 1915,
1070,gestion des hopitaux des houilleres du Nord,Fabien THIEME,tendant a transferer la gestion des anciens etabilissements hospitaliers des houilleres nationales du Nord Pas-de-Calais a l'union regionale de la securite sociale miniere,
1071,gisements petroliers et miniers,Jean Louis MASSON,relative aux provisions pour reconstitution des gisements petroliers et miniers,
1072,GRATUITE DE L'ENSEIGNEMENT,Hélène LUC,"et plusieurs de ses collègues  TENDANT A LA GRATUITE, A L'AIDE SOCIALE EN MATIERE SCOLAIRE ET UNIVERSITAIRE ET A LA PRIME DE RENTREE SCOLAIRE",
1073,GRATUITE SCOLAIRE,Robert MONTDARGENT,"RELATIVE A LA GRATUITE, A L'AIDE SOCIALE EN MATIERE SCOLAIRE ET UNIVERSITAIRE ET A LA PRIME DE RENTREE SCOLAIRE",
1074,GROUPEMENTS EUROPEENS D'INTERET ECONOMIQUE,"Marc Dolez, Pierre Dumas",RELATIF AUX GROUPEMENTS EUROPEENS D'INTERET ECONOMIQUE ET MODIFIANT L'ORDONNANCE NO 67-821 DU 23 SEPTEMBRE 1967 SUR LES GROUPEMENTS D'INTERET ECONOMIQUE,
1075,HABITAT MINIER DU BASSIN DU NORD ET DU PAS-DE-CALAIS,Jean-Luc BÉCART,et plusieurs de ses collègues  TENDANT A ASSURER LA RENOVATION DES CITES ET DE L'HABITAT MINIER DU BASSIN DU NORD ET DU PAS-DE-CALAIS,
1076,HABITAT MINIER DU NORD ET DU PAS-DE-CALAIS,Alain BOCQUET,TENDANT A ASSURER LA RENOVATION DES CITES ET DE L'HABITAT MINIER DU BASSIN DU NORD ET DU PAS-DE-CALAIS,
1077,HANDICAPES,Georges HAGE,TENDANT A ASSURER UNE LARGE INFORMATION SUR LES PROBLEMES DES PERSONNES ATTEINTES D'UN HANDICAP,
