,index,nom_depute,ministere_interrogem,date_publication,question
392,393,M. Yannick Favennec Becot,Solidarités et santé,05/06/2018,"M. Yannick Favennec Becot attire l'attention de Mme la ministre des solidarités et de la santé sur la question du maintien à domicile des personnes âgées. Les aides à domicile effectuent un travail remarquable au quotidien, pour assurer aux personnes âgées ou en situation de handicap, un maintien au domicile, dans les meilleures conditions possibles. Malheureusement, ces personnels doivent faire face à la dégradation de leurs conditions de travail. Ils parcourent, notamment en zones rurales, de nombreux kilomètres du matin au soir, et leur indemnité kilométrique ne s'élève qu'à 0,35 centime/kilomètre. Leur salaire n'est pas revalorisé et leur pouvoir d'achat a baissé de 13 % en 10 ans. A cela s'ajoute l'épuisement professionnel qui entraine de nombreux arrêts maladie. Dans un contexte de vieillissement de la population, où 1,2 million de personnes de plus de 60 ans se trouvent aujourd'hui en situation de dépendance, où les maladies neurodégénératives comme celles d'Alzheimer ou de Parkinson se banalisent, les associations d'aide à domicile peinent à recruter et se retrouvent confrontées à des contraintes budgétaires qui ne leur permettent plus de réaliser correctement leur mission de service public auprès des personnes les plus fragiles. C'est pourquoi, il lui demande quelle réponse elle entend apporter aux graves difficultés auxquelles sont confrontés les services d'aide à domicile, alors que les besoins augmentent et vont continuer à augmenter."
393,394,Mme Maina Sage,Justice,05/06/2018,"Mme Maina Sage interroge Mme la garde des sceaux, ministre de la justice, sur le tribunal foncier de la Polynésie française. Alors que le bâtiment devant l'abriter est bientôt opérationnel et semble totalement adapté, se pose toutefois la question des moyens humains alloués à cette juridiction essentielle pour la résorption des problématiques foncières dans cette collectivité d'Outre-mer. Le contrat d'objectif accorde depuis le 1er octobre 2015, trois magistrats au tribunal foncier. Ce contrat va toutefois expirer en octobre 2018. Le volume d'activité et le nombre de nouvelles saisines va s'accroître de façon importante et nécessite la pérennisation des trois sections de jugement et la transformation de l'ensemble des postes magistrats en emplois budgétaires permanents, ce qui n'est pas le cas aujourd'hui. Alors même que la problématique foncière ou d'indivision dans les Outre-mer a fait l'objet de débats au sein de l'Assemblée nationale lors de l'examen de la proposition de loi de M. Serge Letchimy, elle souhaiterait que l'État puisse apporter toutes les garanties nécessaires au bon fonctionnement du tribunal foncier de la Polynésie française. Elle lui demande donc ses intentions sur cette question."
394,395,M. Bruno Bilde,Intérieur,05/06/2018,"M. Bruno Bilde interroge M. le ministre d'État, ministre de l'intérieur, sur une circulaire du ministère de l'intérieur en date du 3 mai 2018 qui est venue préciser les orientations pour l'emploi des crédits du Fonds interministériel de prévention de la délinquance, le FIPD, pour l'année 2018. Il y figure une mention qui a retenu son attention, et a surtout provoqué la très forte inquiétude d'agents de police municipale et de leurs représentants syndicaux, s'agissant de l'utilisation et du financement des caméras-piétons par les dits agents. Cette mention est la suivante : « L'usage des caméras individuelles permettant l'enregistrement audio-visuel des interventions des polices municipales était prévu à titre expérimental pour 2 années par l'article 114 de la loi n° 2016 - 731 du 3 juin 2016. Il ne sera plus possible à compter du 4 juin 2018, et il n'y a donc plus lieu de financer ce type d'équipements jusqu'à nouvel ordre ». La non-reconduction de l'usage de ces caméras est un nouvel affaiblissement porté aux agents de police municipale qui font un travail exemplaire et difficile aux quatre coins du pays. Utilisées avec précaution, elles permettent à la suite d'interventions d'appréhender bien plus facilement les auteurs d'actes délictuels et criminels. Enlever cet équipement aux polices municipales, c'est compliquer encore un peu plus le travail d'enquête post-intervention et c'est permettre à nouveau à la racaille d'invectiver, de menacer, d'agresser les fonctionnaires de police municipale avec comme seul élément à charge la parole de l'agent. Tout cela est symptomatique des contraintes constantes imposées aux agents de police nationale, comme territoriale, alors même que la présomption de légitime défense est devenue, d'année en année, une présomption de culpabilité avec un renversement de la charge de la preuve proprement scandaleux. De même, on peut noter que le FIPD se désengage de quasiment tous les investissements en matière de vidéoprotection. Au moment où l'État ne prend toujours pas les mesures adéquates d'un point de vue sécuritaire, judiciaire et pénal, il coupe littéralement les vivres aux collectivités pour financer leurs politiques de sécurité. Il lui demande donc si l'on doit comprendre que les villes qui ne sont plus en mesure de financer directement leur sécurité verront leurs citoyens et les policiers en charge de leur protection livrés aux délinquants et aux criminels."
395,396,M. Bastien Lachaud,Personnes handicapées,20/11/2018,"M. Bastien Lachaud alerte Mme la secrétaire d'État, auprès du Premier ministre, chargée des personnes handicapées, sur l'état de la prise en charge des personnes en situation de handicap en Seine-Saint-Denis notamment. C'est un cri d'alarme et d'indignation qu'il souhaite lui adresser aujourd'hui. En Seine-Saint-Denis, les enfants, adolescents et adultes en situation de handicap font face à des situations chaque jour plus inhumaines. Privés d'accès à une éducation et à des soins adaptés. Privés de leur droit à vivre dignement ! La cause est simple : le manque de moyens suffisants, qui découle d'un manque de volonté politique de la part du Gouvernement. Car que fait la ministre ? Que fait-elle quand la Maison départementale des personnes handicapées ne dispose que de cent soixante-quinze personnels pour traiter trente-sept mille dossiers et qu'il faut attendre parfois un an pour que les prestations de compensation soient attribuées ? Quand neuf cent places manquent dans les structures d'accueil pour adultes du département et que plusieurs centaines d'entre eux se trouvent ainsi placés en Belgique ? En Belgique ! Quand il n'y a que mille huit cents places dans les établissements médico-éducatifs pour trois mille quatre-cent enfants orientés vers ceux-ci, et que nombre de ceux-ci se trouvent dès lors privés de la possibilité de se développer ? Quand les personnels nécessaires à l'inclusion scolaire font défaut, et que des enfants se trouvent tout simplement déscolarisés ? Quand les vies sont brisées ? Quand les éducateurs et les soignants, manquant des moyens de faire leur métier dans de bonnes conditions, en sont réduits au désespoir ? Que fait-elle ? Une « grande consultation » sur une « plateforme en ligne » pour « recueillir les témoignages » ! Les témoignages, ils sont légion. Et ils affluent. Mais ce dont les personnes en situation de handicap, les établissements, les associations, ont besoin, ce sont des moyens ! Des places ! Des personnels en nombre suffisant ! Il entend déjà son discours et s'attend à être accusé de démagogie. D'instrumentaliser la souffrance à des fins politiciennes. C'est la parade à laquelle le Gouvernement a recours à chaque fois, plutôt que d'apporter des solutions concrètes. Plutôt que d'améliorer la vie des plus vulnérables. La vérité est tout autre, toute simple. M. le député évoque ces drames pour que Mme la secrétaire d'État cesse enfin de faire la sourde oreille. Pour finir, il voudrait citer quelques mots : « Je ne veux plus de personnes vivant en situation de handicap qui soient sans solutions. Ce sera l'une des priorités de mon quinquennat ». C'est ainsi que s'exprimait le candidat Macron en mai 2017. Il lui demande quand elle va enfin déployer la volonté politique et les moyens nécessaires pour qu'en Seine-Saint-Denis, et partout en France, ces belles paroles ne sonnent pas seulement comme une promesse en l'air."
396,397,M. Alexis Corbière,Ville et logement,20/11/2018,"M. Alexis Corbière attire l'attention de M. le ministre auprès de la ministre de la cohésion des territoires et des relations avec les collectivités territoriales, chargé de la ville et du logement, sur les mesures visant à renforcer les dispositifs hivernaux de mise à l'abri des personnes vivant à la rue. En Île-de-France, la préfecture envisage la création de 5 800 places supplémentaires. Ces moyens temporaires ne suffiront pas à répondre à l'urgence. À l'hiver 2018-2019 encore, la plupart des personnes menacées par le froid et l'épuisement ne pourront bénéficier de l'aide du 115 dont les équipes sont déjà débordées. Les renforts annoncés, tant en termes de places d'accueil que de postes d'écoutants, paraissent dérisoires au regard du nombre d'enfants, de femmes et d'hommes privés d'un toit. La répartition géographique des lits supplémentaires annoncés pose également question. Le département de la Seine-Saint-Denis, pourtant particulièrement touché par l'urgence sociale, ne bénéficiera que de 700 places nouvelles. À Paris, ce sera quatre fois plus. Ce déséquilibre absurde ne repose sur aucune réalité de terrain. Les statistiques d'appels au standard départemental 115 de la Seine-Saint-Denis géré par Interlogement 93 le prouvent. En 2017, plus de 16 000 personnes ont composé ce numéro mais près de 6 000 d'entre elles n'ont jamais obtenu de réponse favorable. Pire, on estime à près de 80 % le taux de non-recours à l'hébergement d'urgence, dans ce département où l'État n'est même pas capable de déterminer le nombre réel d'habitants. Les rapports s'accumulent pour alerter sur le manque de moyens dont souffre la Seine-Saint-Denis. Le Premier ministre lui-même a reconnu que ce département concentrait des difficultés qu'il est urgent de combattre. Or force est de constater que les annonces du préfet d'Île-de-France pour répondre à l'urgence hivernale ne vont pas dans ce sens. Une fois encore, la Seine-Saint-Denis a besoin de plus, mais recevra moins. Il ne s'agit pourtant ni de charité, ni d'idéologie. Il s'agit simplement de respecter la loi française ainsi que les grandes conventions internationales dont la France est signataire et qui n'ont d'autres finalités que de préserver les droits de l'enfant, de la femme et de l'homme. Il lui demande donc pourquoi si peu de places d'accueil seront ouvertes cet hiver en Seine-Saint-Denis, alors qu'autant de vies humaines seront en péril dans les rues de ce département."
397,398,M. Jean-Paul Lecoq,Solidarités et santé,20/11/2018,M. Jean-Paul Lecoq alerte Mme la ministre des solidarités et de la santé sur l'état de la pédopsychiatrie dans la région havraise.
398,399,M. Fabien Roussel,Solidarités et santé,20/11/2018,M. Fabien Roussel attire l'attention de Mme la ministre des solidarités et de la santé sur la création d'un EHPAD du XXIe siècle à Saint-Amand-les-Eaux.
399,400,M. Frédéric Barbier,Solidarités et santé,20/11/2018,"M. Frédéric Barbier interroge Mme la ministre des solidarités et de la santé sur les plans santé et pauvreté. Le Président de la République a présenté le mois dernier les plans santé et pauvreté, tant attendus par les citoyens. Ces plans ont reçu une large approbation des associations pour l'un et des professionnels de santé pour l'autre. Le plan pauvreté prévoit de lutter contre les inégalités et ce dès la petite enfance jusqu'à l'âge adulte par une garantie au quotidien des droits fondamentaux des enfants, la formation des jeunes, un accompagnement plus personnalisé, ainsi qu'en replaçant l'activité et l'emploi au cœur de ce combat. Il vise à « refonder l'État providence » et entend tordre le cou à cette fatalité qui veut que quand on naît pauvre, on meurt pauvre. Le plan santé quant à lui a pour objectifs de prévenir et protéger, en permettant à tout un chacun de se soigner, alors qu'aujourd'hui encore, un Français sur 10 y renonce pour raisons financières, d'accéder aux soins sur l'ensemble du territoire, y compris en zones rurales, de placer le patient au centre du système, de former plus de médecins avec la suppression du numerus clausus, de réorganiser et restructurer la médecine de ville pour désengorger les hôpitaux à bout de souffle, avec notamment la création du nouveau métier d'assistant médical, etc. Concernant ces deux plans ambitieux qui répondent à des enjeux essentiels pour le pays, le Président de la République a indiqué qu'un consensus national était nécessaire. La mobilisation générale est donc décrétée. À présent, la question légitime, qu'on est en droit de se poser, est celle de la matérialisation de ses mesures. Il lui demande donc quels dispositifs concrets elle compte mettre en œuvre dans les différents territoires pour que les professionnels, les associations, les partenaires, la population puissent s'en emparer. Il lui demande également si l'on va assister à une décentralisation pour être au plus près des réalités locales et si oui, à quel niveau."
400,401,M. Gaël Le Bohec,Solidarités et santé,20/11/2018,"M. Gaël Le Bohec interroge Mme la ministre des solidarités et de la santé sur la prise en charge par l'assurance maladie du matériel médical remis à neuf et certifié comme tel. À ce jour, ce matériel n'est pas remboursé par la sécurité sociale, ce qui permettrait pourtant au système d'assurance maladie de réaliser des économies. Selon la caisse nationale de solidarité pour l'autonomie, en 2015, la perte d'autonomie des personnes âgées et des personnes handicapées a coûté 61,4 milliards d'euros aux finances publiques. À elles seules, les aides techniques neuves, fauteuils roulants, appareils respiratoires ou prothèses auditives notamment, coûtent 13 milliards. Sur cette somme, la sécurité sociale rembourse 5,7 milliards et le reste à charge pour les patients se monte à 7,3 milliards d'euros. Le système coûte donc cher. De surcroît, il est inéquitable car il s'appuie sur les mutuelles auxquelles les personnes les plus précaires n'ont pas toujours les moyens de souscrire. Permettre le remboursement par la sécurité sociale du matériel médical rénové aurait des avantages multiples : assurer un meilleur accès aux patients à du matériel abordable pouvant même aboutir à un reste à charge zéro ; réaliser des économies pour le système de santé avec une réutilisation des aides techniques au prix coûtant de la filière de récupération et de rénovation ; créer, grâce à l'économie sociale et solidaire, de nouvelles activités économiques non délocalisables, avec l'inclusion professionnelle de personnes en situation de handicap ; permettre une mise à disposition des aides techniques plus réactive, car il arrive parfois que l'évolution du handicap d'une personne rende obsolète ce matériel au moment où elle le reçoit ; enfin, éviter le gâchis de matériel peu ou pas utilisé et aujourd'hui détruit quels que soient son état ou sa valeur résiduelle. Le remboursement des aides techniques se base aujourd'hui sur une liste établie après avis d'une commission de la Haute autorité de santé et fixée par arrêté. Il lui demande par conséquent s'il est envisageable de faire évoluer cette liste afin qu'elle puisse inclure également du matériel usager remis à neuf et certifié."
401,402,M. Julien Borowczyk,Agriculture et alimentation,20/11/2018,"M. Julien Borowczyk alerte M. le ministre de l'agriculture et de l'alimentation sur la situation des pisciculteurs des étangs de la Loire. Le Forez compte 300 étangs pour une surface de 1 500 hectares. La pêche en étang est une activité historique qui remonte au XIIIe siècle. La pêche loisir compte plus d'1,5 millions de licenciés Les étangs font partie du patrimoine culturel du département. C'est aussi une activité économique non négligeable. Ils participent également à la régulation des débits des rivières et constituent des réservoirs d'eau. C'est un patrimoine commun à d'autres régions dont la Sologne, la Brenne et la Dombes. Depuis plusieurs années le rendement des étangs du Forez est en forte baisse. En 20 ans, la production s'est effondrée, passant de 400 kg à 100 kg de poissons à l'hectare. Toutes les régions piscicoles sont confrontées au même désastre. Face à ce phénomène, les propriétaires abandonnent progressivement cette activité. 300 étangs ont déjà disparu en Forez et avec eux une biodiversité unique. Aujourd'hui beaucoup de propriétaires sont désemparés et songent à combler leurs étangs, ce qui aurait des impacts néfastes sur le milieu. L'essentiel de cette baisse de productivité est imputable à la prolifération des espèces piscivores. Le grand cormoran est responsable en grande partie de cette situation. En France, il prélève en moyenne 30 000 tonnes de poissons chaque année. Il peut capturer des poissons pesant jusqu'à 1,5 kg, mais pour les plus gros, il leur inflige des blessures qui nuisent à leur développement. Autrefois migrateur, il est devenu sédentaire dans le Forez car il bénéficie tout au long de l'année du garde-manger des étangs. Cette situation met en péril la filière piscicole dans le Forez et au-delà dans l'ensemble des régions piscicoles Françaises. Il aimerait connaitre les dispositions qu'il compte prendre pour préserver ce patrimoine qui fait la particularité du Forez et de plusieurs régions françaises ainsi que les mesures qu'il compte prendre pour lutter contre la prolifération des espaces piscivores sur le territoire."
402,403,Mme Fadila Khattabi,Travail,20/11/2018,"Mme Fadila Khattabi interroge Mme la ministre du travail sur la mise en œuvre d'une deuxième phase d'expérimentation concernant le dispositif des emplois francs, qui sera généralisé en 2020. À l'occasion de la première phase expérimentale lancée en 2017, 194 quartiers en politique de la ville, situés sur sept territoires, ont été sélectionnés. Le budget 2019 dédié à la mission travail et emploi prévoit 237 millions d'autorisations d'engagements et un peu plus de 70 millions en crédits de paiement pour couvrir spécifiquement le coût de 25 000 contrats emplois francs d'ici la fin de l'expérimentation en 2020. Dans sa circonscription, la commune de Chenôve, classée quartier prioritaire de la métropole dijonnaise, connaît un taux de chômage élevé avoisinant les 30 %. En effet, depuis plusieurs années, les habitants font face à la persistance d'un chômage dit « de longue durée » et sont malheureusement tenus à l'écart de l'emploi. C'est la raison pour laquelle, elle avait tenu à transmettre la candidature de cette commune pour faire partie de l'expérimentation dès 2018. Aussi, compte tenu des moyens financiers engagés pour le budget emploi 2019 et face à la persistance d'un important taux de chômage dans de nombreux quartiers en politique de la ville, elle souhaiterait savoir si d'autres territoires pourront être sélectionnés pour une deuxième phase expérimentale avant 2020."
403,404,Mme Sabine Thillaye,Économie et finances,20/11/2018,"Mme Sabine Thillaye appelle l'attention de M. le ministre de l'économie et des finances sur les moyens pouvant être mis en place par le Gouvernement, aux côtés des services compétents de l'État et des collectivités, pour face à la fermeture du site Sandvik Coromant de Fondettes (Indre-et-Loire) annoncée par le groupe suédois Sandvik le 23 octobre 2018. Ce site comprend une unité de production spécialisée dans la production de plaquettes de coupe en carbure de tungstène ainsi que des fraises et forets pour l'automobile et l'aéronautique ainsi qu'une activité de « R et D et project management ». L'arrêt des deux activités du site concernerait, en l'état, les 130 salariés de l'unité de production dont 70 % d'ouvriers (tourneur-fraiseurs, pilotes machine, agents de maintenance des machines) et quelques cadres et ingénieurs, ainsi que les 31 salariés de l'activité « R et D et project management », cadres et agents de maîtrise. Au total, ce sont donc 161 emplois menacés. Cette décision est d'autant plus regrettable que le site de Fondettes dispose d'atouts non négligeables : un personnel hautement qualifié et expérimenté, une diversification des activités au profit de l'aéronautique, preuve de la capacité de résilience et d'adaptation de l'usine, des investissements conséquents initiés par la métropole, le département, la région et l'université dans un centre de recherche mixte public-privé, le CEROC, inauguré en 2005. Alors que deux plans de sauvegarde de l'emploi (PSE) seront discutés dans les prochaines semaines, il apparaît essentiel de négocier avec l'entreprise des conditions optimales de départ pour l'ensemble des employés, si ce scénario était définitivement retenu. D'autre part, conformément aux dispositions prévues au titre de « la loi Florange », l'entreprise aura également pour responsabilité de trouver un repreneur, en accord avec les services de l'État. Cette fermeture d'usine intervient dans un contexte difficile pour l'Indre-et-Loire, déjà affectée par deux restructurations d'entreprises, le groupe Michelin en 2014 et le groupe Tupperware l'année dernière. Aussi, la recherche d'un repreneur fiable pour le site de Fondettes et son bassin d'emplois revêt une importance majeure pour laquelle une mobilisation totale des services de l'État apparaît nécessaire. Outre les obligations sociales à l'égard des salariés, il importera également, si le projet de fermeture devenait définitif, de négocier une forte obligation de revitalisation pour la commune de Fondettes, proportionnelle au préjudice territorial subi. Mardi 30 octobre 2018, une première réunion de travail a été organisée au ministère de l'économie et des finances, en présence de Mme Agnès Pannier-Runacher, secrétaire d'État auprès du ministre de l'économie et des finances, et de M. Jean-Pierre Floris, délégué interministériel aux restructurations d'entreprises, et d'une délégation d'élus du territoire. Les représentants du Gouvernement se sont dits pleinement mobilisés pour trouver la meilleure issue possible à même de garantir la pérennité du site et l'avenir des salariés et de leurs familles. Dans la continuité de cette réunion de travail, elle souhaiterait connaître les solutions concrètes pouvant être proposées par l'État pour répondre à un double objectif : préserver les emplois en jeu et co-construire un avenir durable du site de Fondettes autour duquel s'est construit un écosystème dynamique au rayonnement international."
404,405,Mme Danielle Brulebois,Agriculture et alimentation,20/11/2018,"Mme Danielle Brulebois interroge M. le ministre de l'agriculture et de l'alimentation sur la prolifération de la pyrale du buis. Depuis le printemps de l'année 2017, la pyrale du buis, un papillon originaire d'Asie du sud-est, ne cesse de se développer dans le département du Jura et crée de nombreux dégâts en s'attaquant aux parcs, aux jardins et aux milieux forestiers. La présence de cet insecte représente une véritable gêne pour les habitants du département eu égard à son nombre, à sa densité et à sa dangerosité. En effet, la pyrale du buis crée des risques sanitaires, et surtout, des risques d'incendies qui pourraient impacter les zones naturelles et les zones d'habitation où vivent de nombreux citoyens. En ce qui concerne les dégâts naturels, ce papillon crée une défoliation forte des buis, une destruction des écorces et une réduction du nombre de bourgeons. Le traitement de cet insecte par le bacillus thuringiensis, un produit pour éliminer les chenilles pondues par la pyrale du buis, montre actuellement ses limites. Les habitants manquent de moyens afin de lutter contre la présence de ce papillon et contre son développement. Actuellement, la pyrale du buis est classée en catégorie 3 de la catégorisation des dangers sanitaires établie par le ministère de l'agriculture et de l'alimentation. Seulement, la situation actuelle révèle que le classement de la pyrale du buis dans cette 3ème catégorie est insuffisant. De cette façon, elle lui demande de classer la pyrale du buis en 2ème catégorie des dangers sanitaires, établie par le ministère de l'agriculture et de l'alimentation, afin de permettre le déploiement d'un plan adapté à la situation constatée sur le terrain."
405,406,Mme Marie-Pierre Rixain,Solidarités et santé,20/11/2018,"Mme Marie-Pierre Rixain appelle l'attention de Mme la ministre des solidarités et de la santé sur le développement des centres de consultations et de soins urgents (CCSU). Le système de santé est aujourd'hui confronté aux défis du XXIème siècle. Afin d'être plus performant, il doit s'ouvrir aux nouveautés technologiques, aux innovations sanitaires et adapter son organisation. Il en va de la santé de l'ensemble des Français. L'Essonne est devenue le laboratoire de la santé de demain telle que voulue par le Président de la République. Pour répondre à cet enjeu majeur, le Groupement hospitalier Nord-Essonne a fusionné au 1er janvier 2018 toutes les activités hospitalières des sites de Longjumeau, d'Orsay et de Juvisy-sur-Orge en un complexe unique situé sur le plateau de Saclay. Ce grand complexe hospitalier s'est constitué en Groupement hospitalier de territoire (GHT) le 1er juillet 2016. La concentration sur un site unique placé au cœur d'une zone d'innovations biomédicales et numériques à l'horizon 2024 permettra la constitution d'un hôpital précurseur. Ce centre de santé de pointe est destiné à devenir un fleuron européen de technicité et d'innovation. Les Essonniens en ont conscience. Cette réorganisation majeure de l'offre de soins en Essonne amène à repenser le rapport du patient au parcours de soin qui lui est proposé. À Longjumeau, le centre hospitalier est épaulé depuis décembre 2017 par un centre de consultations et de soins urgents. Ce CCSU, ouvert de 8h à 22h, doté d'un plateau technique et géré par du personnel hospitalier est encore en phase d'expérimentation mais a déjà accueilli près de 10 000 patients et donne des résultats prometteurs, notamment sur la question cruciale de la répartition des passages aux urgences pour des cas vitaux et non vitaux. Si le CCSU maintient une offre de soins conséquente parallèlement à la réorganisation du GHNE dans le nord de l'Essonne, il n'a pas pour autant vocation à remplacer stricto sensu le centre hospitalier de Longjumeau. Dépourvue de lits, cette structure n'est pas un hôpital car les opérations lourdes, les accouchements ou les urgences vitales ne peuvent y être traités. Elle ouvre des perspectives de coordination plus étroite avec la médecine de ville, bénéficie de la présence d'un SMUR mais propose un schéma autre que celui d'un hôpital, plus adapté aux réalités médicales actuelles. Pour assurer une bonne couverture du territoire du GHNE, d'autres CCSU doivent ouvrir leurs portes à Juvisy-sur-Orge et à Sainte-Geneviève-des-Bois. Ce modèle, en complément des maisons de garde, des maisons de santé pluri-professionnelles et des futures communautés professionnelles territoriales de santé, est appelé à se développer. Elle lui demande de préciser sa vision du développement de ces modèles alternatifs au tout-hôpital, plus souples, plus agiles, plus adaptés à des milieux périurbains et ruraux et qui maintiennent des soins de proximité."
406,407,M. Christophe Lejeune,Armées,20/11/2018,"M. Christophe Lejeune interroge Mme la ministre des armées sur l'avenir de la base aérienne 116 de Luxeuil-Saint-Sauveur. La base aérienne 116, dans la deuxième circonscription de la Haute-Saône, est au cœur de l'activité opérationnelle de l'armée de l'air. Elle joue un rôle essentiel de garante de l'exécution de toutes les missions permanentes. Que ce soit la protection, afin de garantir la souveraineté de l'espace aérien national, ou encore l'intervention immédiate pour déployer très rapidement un dispositif de combat, les missions de la BA 116 sont nombreuses, exécutées efficacement et de manière minutieuse. Alors que la loi de programmation militaire 2019-2025 prévoit la modernisation des deux composantes de la dissuasion française, il est nécessaire de rappeler que la base aérienne 116 est capable d'accueillir et de mettre en œuvre, comme elle l'a prouvé par le passé, des appareils de la composante aéroportée de la dissuasion nucléaire pour défendre les intérêts vitaux de la nation. De plus, en son sein, le groupe de chasse 1/2 Cigognes assure en permanence, 24 heures sur 24 et 365 jours par an, la mission de police du ciel. En ce moment même, ils sont prêts à décoller en quelques minutes pour effectuer des missions de sureté aérienne ou d'assistance en vol. En ces temps de commémoration de la Grande guerre, M. le député souhaite rappeler le patrimoine historique de la BA 116 qui a accueilli les plus grands as de la Première Guerre mondiale, notamment Georges Guynemer. L'est de la France, qui a été marqué par les plus grandes batailles du pays, a cultivé la mémoire des grands conflits et est, par son histoire, plus ouverte à la culture militaire. C'est d'ailleurs pour cette raison que la base aérienne 116 de Luxeuil-Saint-Sauveur est parfaitement intégrée au territoire et que la population locale est favorable à son activité, voire heureuse d'entendre les avions décoller pour assurer leur mission de police du ciel. Plus encore, la BA 116 est un réel enjeu d'aménagement du territoire pour la Haute-Saône. Premier employeur de la deuxième circonscription, la base participe pleinement à l'activité du bassin de vie. De très nombreuses familles y vivent et animent le territoire. La restructuration à l'œuvre par son ministère et l'état-major des armées ne doit pas oublier ni tous ces éléments ni l'héritage laissé par la Grande guerre et l'ensemble des conflits qui font partie intégrante de l'histoire du pays. Il lui demande comment les spécificités de la Haute-Saône et de la base aérienne 116 de Luxeuil seront prises en compte dans la nouvelle organisation de l'armée de l'air."
407,408,Mme Naïma Moutchou,Intérieur,20/11/2018,"Mme Naïma Moutchou interroge M. le ministre de l'intérieur sur la prise en charge des mineurs non accompagnés (MNA) dans le Val-d'Oise. Ces dernières années, le nombre d'arrivées de mineurs étrangers, appelés mineurs non accompagnés (MNA), a connu une forte hausse en France. On dénombrait 25 000 mineurs étrangers pris en charge par les départements français en 2017. Les MNA ne sont pas soumis aux règles d'entrée et de séjour des étrangers et ne peuvent faire l'objet d'aucune mesure d'éloignement. Ils relèvent du droit commun de la protection de l'enfance. À leur arrivée en France, ils sont pris en charge par les services départementaux de l'aide sociale à l'enfance (ASE) dans le cadre d'un accueil provisoire de cinq jours, durant lesquels leur situation est évaluée. Ils sont ensuite orientés vers les structures adaptées. Certains territoires connaissent un afflux particulièrement important de MNA, notamment le Nord, Paris, l'Île-de-France, dont le département du Val-d'Oise. Dans le Val-d'Oise, 2 100 mineurs se sont présentés au service de l'ASE en 2017, contre 700 en 2016. En conséquence, le budget consacré aux MNA dans ce département a fortement augmenté, passant de 8 millions d'euros en 2013 à 30 millions d'euros en 2017. Soumis à de fortes pressions et dépassés par l'afflux de mineurs étrangers, les départements se sont sentis abandonnés par l'État et ont donc demandé que ce dernier joue un rôle accru dans la prise en charge des mineurs étrangers isolés. Cette demande a été partiellement entendue. L'État a accordé une enveloppe exceptionnelle de 96,06 millions d'euros à l'aide sociale à l'enfance pour la prise en charge des MNA, avec une aide concentrée sur la phase d'accueil et d'évaluation. Le Val-d'Oise fait ainsi parti des 37 départements ayant perçu pour 2017 une dotation de l'État supérieure à un million d'euros au titre de l'augmentation du nombre de MNA. Mais cela demeure insuffisant au regard de la saturation des dispositifs de prise en charge et de mise à l'abri des MNA et du poids financier que cela représente pour les départements. Aujourd'hui encore de nombreuses défaillances sont à déplorer, notamment dans les dispositifs d'évaluation de la minorité et de l'isolement des jeunes. Plus que d'un geste, les départements ont besoin d'une main tendue, d'une action de soutien d'envergure. Elle souhaiterait donc connaître les solutions envisagées par l'État pour soutenir davantage les départements confrontés à d'importantes arrivées de MNA, à l'instar du Val-d'Oise, tant d'un point de vue humain que financier."
408,409,Mme Cécile Muschotti,Cohésion des territoires et relations avec les collectivités territoriales,20/11/2018,"Mme Cécile Muschotti appelle l'attention de Mme la ministre de la cohésion des territoires et des relations avec les collectivités territoriales sur les effets d'ores et déjà constatables de la contractualisation financière entre l'État et les collectivités territoriales ouverte par la Conférence nationale des territoires de décembre 2017, dite « dispositif de Cahors ». Cette stratégie contractuelle mise en place par le Gouvernement est venue rompre avec la baisse unilatérale des dotations. Les collectivités signataires - dont le département du Var, par délibération de son Conseil du 25 juin 2018 - en contrepartie d'économies sur leurs dépenses de fonctionnement, verront leurs dotations stabilisées sur la période du programme de stabilité, de 2018 à 2022. Si la croissance de leurs dépenses de fonctionnement est limitée à 1,2 % par an, les collectivités concernées peuvent se voir proposer par le préfet une variation possible de taux, pour tenir compte de circonstances locales ; le rapport de la Cour des comptes sur la situation financière et la gestion des collectivités territoriales et de leurs établissements publics de 2017 propose des pistes pour affiner ce « dispositif de Cahors ». En particulier, la Cour des comptes relève qu'une part « très significative » de la dépense locale reste hors encadrement, et considère qu'une évolution souhaitable serait d'inclure dans la contractualisation les budgets annexes des collectivités concernées. Qu'en serait-il des budgets autonomes, tels que les budgets des services départementaux d'incendie et de secours, puisque ceux-ci constituent, aux yeux des magistrats financiers, une débudgétisation correspondant à un démembrement de l'administration locale ? En effet, si les SDIS disposent de la personnalité juridique et votent leur propre budget, ils ne disposent pas de l'autonomie financière. De ce point de vue, le département du Var, département le plus touristique de France qui vient de subir de très importantes inondations et dont le SDIS doit faire face, sur l'ensemble de l'année, à de multiples sollicitations, serait comparativement beaucoup plus impacté que d'autres par une telle extension du dispositif. Alors que l'évaluation des contrats sera effectuée au printemps 2019, avant l'élaboration du projet de loi de finances pour 2020, et que la modification du « dispositif de Cahors » requiert une modification de la loi de programmation des finances publiques, elle souhaite connaître son avis sur les perspectives futures de la contractualisation financière entre l'État et les départements, et en particulier sur la question du champ d'application de la maîtrise des dépenses de fonctionnement à l'ensemble des services publics départementaux, dont les services d'incendie et de secours."
